Order ID,Order Date,Sales,Quantity,Category,Cluster
CA-1053,2015-02-23,895.88,5,Technology,2
CA-1054,2015-02-24,601.92,7,Office Supplies,1
CA-1055,2015-02-25,922.66,5,Technology,2
CA-1056,2015-02-26,97.61,4,Office Supplies,0
CA-1057,2015-02-27,204.02,8,Technology,1
CA-1058,2015-02-28,54.78,4,Furniture,0
CA-1059,2015-03-01,332.08,2,Office Supplies,0
CA-1060,2015-03-02,394.79,6,Technology,1
CA-1061,2015-03-03,278.64,2,Furniture,0
CA-1062,2015-03-04,830.45,3,Technology,2
CA-1063,2015-03-05,363.19,1,Furniture,0
CA-1064,2015-03-06,288.13,5,Technology,0
CA-1065,2015-03-07,547.27,9,Office Supplies,1
CA-1066,2015-03-08,149.51,2,Office Supplies,0
CA-1067,2015-03-09,804.18,7,Office Supplies,1
CA-1068,2015-03-10,83.81,5,Office Supplies,0
CA-1069,2015-03-11,987.02,2,Office Supplies,2
CA-1070,2015-03-12,774.52,8,Technology,1
CA-1071,2015-03-13,206.73,6,Technology,0
CA-1072,2015-03-14,15.47,4,Technology,0
CA-1073,2015-03-15,817.31,4,Technology,2
CA-1074,2015-03-16,709.79,2,Office Supplies,2
CA-1075,2015-03-17,731.72,3,Furniture,2
CA-1076,2015-03-18,773.56,7,Office Supplies,1
CA-1077,2015-03-19,83.3,3,Technology,0
CA-1078,2015-03-20,364.88,5,Office Supplies,0
CA-1079,2015-03-21,124.71,6,Office Supplies,0
CA-1080,2015-03-22,864.47,6,Office Supplies,2
CA-1081,2015-03-23,627.07,4,Furniture,2
CA-1082,2015-03-24,337.59,6,Office Supplies,1
CA-1083,2015-03-25,72.92,3,Office Supplies,0
CA-1084,2015-03-26,317.87,7,Furniture,1
CA-1085,2015-03-27,331.93,7,Office Supplies,1
CA-1086,2015-03-28,732.31,4,Office Supplies,2
CA-1087,2015-03-29,641.18,2,Office Supplies,2
CA-1088,2015-03-30,888.34,7,Office Supplies,1
CA-1089,2015-03-31,477.49,3,Office Supplies,0
CA-1090,2015-04-01,128.4,1,Technology,0
CA-1091,2015-04-02,716.11,2,Office Supplies,2
CA-1092,2015-04-03,763.18,9,Furniture,1
CA-1093,2015-04-04,565.66,8,Office Supplies,1
CA-1094,2015-04-05,773.26,6,Technology,2
CA-1095,2015-04-06,498.86,6,Furniture,1
CA-1096,2015-04-07,527.51,1,Furniture,2
CA-1097,2015-04-08,433.27,2,Office Supplies,0
CA-1098,2015-04-09,35.16,4,Technology,0
CA-1099,2015-04-10,116.81,3,Office Supplies,0
CA-1100,2015-04-11,41.11,1,Technology,0
CA-1101,2015-04-12,640.05,8,Technology,1
CA-1102,2015-04-13,321.21,7,Office Supplies,1
CA-1103,2015-04-14,513.48,4,Technology,2
CA-1104,2015-04-15,908.49,9,Office Supplies,1
CA-1105,2015-04-16,256.8,4,Technology,0
CA-1106,2015-04-17,416.28,1,Furniture,0
CA-1107,2015-04-18,758.0,1,Office Supplies,2
CA-1108,2015-04-19,236.51,1,Technology,0
CA-1109,2015-04-20,86.21,1,Furniture,0
CA-1110,2015-04-21,296.85,4,Furniture,0
CA-1111,2015-04-22,169.61,1,Furniture,0
CA-1112,2015-04-23,930.4,2,Furniture,2
CA-1113,2015-04-24,810.04,4,Office Supplies,2
CA-1114,2015-04-25,637.07,7,Technology,1
CA-1115,2015-04-26,872.75,2,Furniture,2
CA-1116,2015-04-27,805.64,8,Technology,1
CA-1117,2015-04-28,194.7,7,Technology,1
CA-1118,2015-04-29,893.63,9,Technology,1
CA-1119,2015-04-30,543.95,6,Office Supplies,1
CA-1120,2015-05-01,809.37,4,Office Supplies,2
CA-1121,2015-05-02,897.13,6,Furniture,2
CA-1122,2015-05-03,324.82,4,Technology,0
CA-1123,2015-05-04,118.95,7,Office Supplies,1
CA-1124,2015-05-05,235.66,9,Office Supplies,1
CA-1125,2015-05-06,432.84,3,Office Supplies,0
CA-1126,2015-05-07,819.83,3,Furniture,2
CA-1127,2015-05-08,862.12,2,Office Supplies,2
CA-1128,2015-05-09,16.88,1,Technology,0
CA-1129,2015-05-10,515.64,1,Office Supplies,0
CA-1130,2015-05-11,423.24,3,Office Supplies,0
CA-1131,2015-05-12,229.89,7,Furniture,1
CA-1132,2015-05-13,128.67,9,Technology,1
CA-1133,2015-05-14,344.24,2,Office Supplies,0
CA-1134,2015-05-15,943.48,7,Technology,2
CA-1135,2015-05-16,329.97,1,Technology,0
CA-1136,2015-05-17,523.6,2,Office Supplies,2
CA-1137,2015-05-18,705.99,6,Furniture,1
CA-1138,2015-05-19,369.99,5,Technology,0
CA-1139,2015-05-20,972.06,8,Office Supplies,1
CA-1140,2015-05-21,962.82,2,Technology,2
CA-1141,2015-05-22,259.26,1,Technology,0
CA-1142,2015-05-23,502.28,7,Technology,1
CA-1143,2015-05-24,307.87,6,Office Supplies,1
CA-1144,2015-05-25,291.99,8,Technology,1
CA-1145,2015-05-26,46.52,8,Technology,1
CA-1146,2015-05-27,613.47,2,Furniture,2
CA-1147,2015-05-28,507.65,8,Office Supplies,1
CA-1148,2015-05-29,60.96,6,Office Supplies,0
CA-1149,2015-05-30,285.86,9,Technology,1
CA-1150,2015-05-31,909.18,7,Furniture,1
CA-1151,2015-06-01,247.17,2,Technology,0
CA-1152,2015-06-02,153.45,8,Technology,1
CA-1153,2015-06-03,494.56,9,Office Supplies,1
CA-1154,2015-06-04,985.79,7,Furniture,2
CA-1155,2015-06-05,249.63,4,Technology,0
CA-1156,2015-06-06,675.41,9,Office Supplies,1
CA-1157,2015-06-07,764.0,4,Technology,2
CA-1158,2015-06-08,245.26,4,Technology,0
CA-1159,2015-06-09,730.93,9,Furniture,1
CA-1160,2015-06-10,374.11,8,Furniture,1
CA-1161,2015-06-11,635.98,4,Furniture,2
CA-1162,2015-06-12,637.19,8,Technology,1
CA-1163,2015-06-13,540.42,8,Furniture,1
CA-1164,2015-06-14,99.39,7,Office Supplies,1
CA-1165,2015-06-15,836.95,6,Technology,2
CA-1166,2015-06-16,327.57,8,Furniture,1
CA-1167,2015-06-17,194.65,7,Technology,1
CA-1168,2015-06-18,50.37,5,Technology,0
CA-1169,2015-06-19,594.98,4,Office Supplies,2
CA-1170,2015-06-20,680.79,2,Office Supplies,2
CA-1171,2015-06-21,26.42,8,Office Supplies,1
CA-1172,2015-06-22,516.97,9,Technology,1
CA-1173,2015-06-23,234.23,4,Technology,0
CA-1174,2015-06-24,648.72,4,Office Supplies,2
CA-1175,2015-06-25,182.62,5,Technology,0
CA-1176,2015-06-26,694.03,2,Office Supplies,2
CA-1177,2015-06-27,392.87,7,Office Supplies,1
CA-1178,2015-06-28,937.36,5,Furniture,2
CA-1179,2015-06-29,146.15,6,Office Supplies,0
CA-1180,2015-06-30,347.66,4,Furniture,0
CA-1181,2015-07-01,122.34,8,Office Supplies,1
CA-1182,2015-07-02,925.45,8,Technology,1
CA-1183,2015-07-03,878.57,5,Furniture,2
CA-1184,2015-07-04,265.36,6,Technology,1
CA-1185,2015-07-05,663.38,3,Technology,2
CA-1186,2015-07-06,819.05,1,Office Supplies,2
CA-1187,2015-07-07,559.65,9,Office Supplies,1
CA-1188,2015-07-08,534.35,9,Technology,1
CA-1189,2015-07-09,249.43,3,Office Supplies,0
CA-1190,2015-07-10,102.17,4,Office Supplies,0
CA-1191,2015-07-11,898.24,7,Office Supplies,1
CA-1192,2015-07-12,901.41,2,Technology,2
CA-1193,2015-07-13,636.77,3,Furniture,2
CA-1194,2015-07-14,345.64,6,Furniture,1
CA-1195,2015-07-15,355.72,8,Technology,1
CA-1196,2015-07-16,728.7,1,Office Supplies,2
CA-1197,2015-07-17,898.14,4,Office Supplies,2
CA-1198,2015-07-18,888.22,1,Furniture,2
CA-1199,2015-07-19,782.08,2,Technology,2
CA-1200,2015-07-20,645.61,8,Technology,1
CA-1201,2015-07-21,93.3,6,Office Supplies,0
CA-1202,2015-07-22,170.01,9,Office Supplies,1
CA-1203,2015-07-23,899.57,2,Office Supplies,2
CA-1204,2015-07-24,610.36,3,Technology,2
CA-1205,2015-07-25,19.11,9,Furniture,1
CA-1206,2015-07-26,110.46,9,Technology,1
CA-1207,2015-07-27,666.87,6,Technology,1
CA-1208,2015-07-28,15.01,3,Technology,0
CA-1209,2015-07-29,169.2,5,Furniture,0
CA-1210,2015-07-30,553.25,2,Office Supplies,2
CA-1211,2015-07-31,694.98,7,Office Supplies,1
CA-1212,2015-08-01,655.44,8,Technology,1
CA-1213,2015-08-02,232.03,6,Technology,0
CA-1214,2015-08-03,715.06,8,Furniture,1
CA-1215,2015-08-04,244.88,2,Furniture,0
CA-1216,2015-08-05,332.15,3,Office Supplies,0
CA-1217,2015-08-06,749.03,7,Technology,1
CA-1218,2015-08-07,653.14,1,Furniture,2
CA-1219,2015-08-08,850.73,7,Furniture,1
CA-1220,2015-08-09,661.04,6,Technology,1
CA-1221,2015-08-10,572.63,8,Technology,1
CA-1222,2015-08-11,102.74,7,Technology,1
CA-1223,2015-08-12,374.04,4,Technology,0
CA-1224,2015-08-13,272.55,3,Technology,0
CA-1225,2015-08-14,251.55,3,Technology,0
CA-1226,2015-08-15,973.28,4,Furniture,2
CA-1227,2015-08-16,399.17,9,Technology,1
CA-1228,2015-08-17,893.13,9,Office Supplies,1
CA-1229,2015-08-18,634.83,2,Technology,2
CA-1230,2015-08-19,796.86,5,Office Supplies,2
CA-1231,2015-08-20,507.61,1,Office Supplies,0
CA-1232,2015-08-21,581.13,4,Office Supplies,2
CA-1233,2015-08-22,497.59,2,Technology,0
CA-1234,2015-08-23,203.29,8,Technology,1
CA-1235,2015-08-24,725.23,4,Office Supplies,2
CA-1236,2015-08-25,287.96,5,Technology,0
CA-1237,2015-08-26,34.07,4,Furniture,0
CA-1238,2015-08-27,649.02,5,Furniture,2
CA-1239,2015-08-28,185.34,5,Furniture,0
CA-1240,2015-08-29,941.05,5,Furniture,2
CA-1241,2015-08-30,954.39,3,Technology,2
CA-1242,2015-08-31,915.72,7,Office Supplies,2
CA-1243,2015-09-01,376.46,3,Technology,0
CA-1244,2015-09-02,25.3,2,Furniture,0
CA-1245,2015-09-03,929.04,3,Technology,2
CA-1246,2015-09-04,433.9,3,Technology,0
CA-1247,2015-09-05,966.99,8,Furniture,1
CA-1248,2015-09-06,963.98,4,Office Supplies,2
CA-1249,2015-09-07,854.48,3,Technology,2
CA-1250,2015-09-08,301.5,5,Technology,0
CA-1251,2015-09-09,391.25,4,Furniture,0
CA-1252,2015-09-10,852.63,9,Office Supplies,1
CA-1253,2015-09-11,323.75,8,Furniture,1
CA-1254,2015-09-12,177.8,7,Furniture,1
CA-1255,2015-09-13,561.23,8,Technology,1
CA-1256,2015-09-14,936.79,5,Office Supplies,2
CA-1257,2015-09-15,699.07,4,Furniture,2
CA-1258,2015-09-16,574.36,7,Technology,1
CA-1259,2015-09-17,106.2,1,Furniture,0
CA-1260,2015-09-18,618.86,6,Technology,1
CA-1261,2015-09-19,990.15,8,Office Supplies,1
CA-1262,2015-09-20,148.68,7,Furniture,1
CA-1263,2015-09-21,523.15,2,Office Supplies,2
CA-1264,2015-09-22,878.6,7,Office Supplies,1
CA-1265,2015-09-23,743.36,6,Technology,2
CA-1266,2015-09-24,700.05,5,Furniture,2
CA-1267,2015-09-25,705.46,4,Furniture,2
CA-1268,2015-09-26,365.9,1,Technology,0
CA-1269,2015-09-27,300.66,2,Technology,0
CA-1270,2015-09-28,811.27,7,Office Supplies,1
CA-1271,2015-09-29,812.01,3,Furniture,2
CA-1272,2015-09-30,868.4,5,Furniture,2
CA-1273,2015-10-01,914.11,8,Technology,1
CA-1274,2015-10-02,516.23,8,Technology,1
CA-1275,2015-10-03,506.5,6,Technology,1
CA-1276,2015-10-04,800.31,5,Furniture,2
CA-1277,2015-10-05,653.46,2,Furniture,2
CA-1278,2015-10-06,704.95,9,Office Supplies,1
CA-1279,2015-10-07,797.83,1,Technology,2
CA-1280,2015-10-08,891.11,2,Office Supplies,2
CA-1281,2015-10-09,344.62,1,Furniture,0
CA-1282,2015-10-10,381.83,4,Office Supplies,0
CA-1283,2015-10-11,103.04,4,Office Supplies,0
CA-1284,2015-10-12,582.5,5,Office Supplies,2
CA-1285,2015-10-13,45.58,5,Technology,0
CA-1286,2015-10-14,470.94,8,Furniture,1
CA-1287,2015-10-15,547.22,3,Technology,2
CA-1288,2015-10-16,293.68,6,Office Supplies,1
CA-1289,2015-10-17,594.92,3,Technology,2
CA-1290,2015-10-18,40.2,2,Furniture,0
CA-1291,2015-10-19,46.97,8,Furniture,1
CA-1292,2015-10-20,824.37,1,Office Supplies,2
CA-1293,2015-10-21,366.59,9,Office Supplies,1
CA-1294,2015-10-22,135.79,7,Technology,1
CA-1295,2015-10-23,527.02,4,Furniture,2
CA-1296,2015-10-24,772.29,3,Furniture,2
CA-1297,2015-10-25,223.66,6,Technology,0
CA-1298,2015-10-26,626.66,9,Furniture,1
CA-1299,2015-10-27,94.49,9,Office Supplies,1
CA-1300,2015-10-28,61.16,4,Office Supplies,0
CA-1301,2015-10-29,536.04,5,Technology,2
CA-1302,2015-10-30,545.23,9,Technology,1
CA-1303,2015-10-31,641.06,2,Technology,2
CA-1304,2015-11-01,728.83,2,Office Supplies,2
CA-1305,2015-11-02,976.09,5,Technology,2
CA-1306,2015-11-03,521.14,1,Furniture,2
CA-1307,2015-11-04,329.73,8,Technology,1
CA-1308,2015-11-05,797.23,5,Furniture,2
CA-1309,2015-11-06,278.12,2,Office Supplies,0
CA-1310,2015-11-07,444.58,9,Furniture,1
CA-1311,2015-11-08,87.67,2,Furniture,0
CA-1312,2015-11-09,35.1,7,Furniture,1
CA-1313,2015-11-10,963.02,8,Office Supplies,1
CA-1314,2015-11-11,837.62,6,Furniture,2
CA-1315,2015-11-12,699.01,7,Furniture,1
CA-1316,2015-11-13,414.86,1,Technology,0
CA-1317,2015-11-14,181.56,4,Technology,0
CA-1318,2015-11-15,164.87,7,Technology,1
CA-1319,2015-11-16,257.74,1,Furniture,0
CA-1320,2015-11-17,553.73,1,Furniture,2
CA-1321,2015-11-18,717.45,6,Office Supplies,1
CA-1322,2015-11-19,663.6,4,Furniture,2
CA-1323,2015-11-20,287.13,3,Furniture,0
CA-1324,2015-11-21,955.32,5,Office Supplies,2
CA-1325,2015-11-22,740.52,9,Furniture,1
CA-1326,2015-11-23,558.81,3,Office Supplies,2
CA-1327,2015-11-24,615.6,5,Office Supplies,2
CA-1328,2015-11-25,425.4,5,Technology,0
CA-1329,2015-11-26,255.25,9,Furniture,1
CA-1330,2015-11-27,362.41,4,Technology,0
CA-1331,2015-11-28,760.27,1,Furniture,2
CA-1332,2015-11-29,24.25,5,Technology,0
CA-1333,2015-11-30,124.91,1,Office Supplies,0
CA-1334,2015-12-01,55.54,6,Office Supplies,0
CA-1335,2015-12-02,50.32,7,Office Supplies,1
CA-1336,2015-12-03,856.91,1,Office Supplies,2
CA-1337,2015-12-04,706.62,4,Furniture,2
CA-1338,2015-12-05,479.43,9,Furniture,1
CA-1339,2015-12-06,106.86,1,Technology,0
CA-1340,2015-12-07,496.7,9,Furniture,1
CA-1341,2015-12-08,478.74,8,Furniture,1
CA-1342,2015-12-09,181.47,5,Technology,0
CA-1343,2015-12-10,439.51,6,Office Supplies,1
CA-1344,2015-12-11,404.52,7,Technology,1
CA-1345,2015-12-12,619.69,4,Technology,2
CA-1346,2015-12-13,638.74,6,Office Supplies,1
CA-1347,2015-12-14,54.85,7,Technology,1
CA-1348,2015-12-15,380.87,6,Technology,1
CA-1349,2015-12-16,629.6,6,Technology,1
CA-1350,2015-12-17,508.1,2,Furniture,0
CA-1351,2015-12-18,857.92,5,Office Supplies,2
CA-1352,2015-12-19,662.11,3,Office Supplies,2
CA-1353,2015-12-20,171.31,7,Technology,1
CA-1354,2015-12-21,79.86,4,Furniture,0
CA-1355,2015-12-22,646.0,1,Office Supplies,2
CA-1356,2015-12-23,36.25,6,Office Supplies,0
CA-1357,2015-12-24,589.92,6,Technology,1
CA-1358,2015-12-25,940.83,7,Technology,2
CA-1359,2015-12-26,579.72,8,Technology,1
CA-1360,2015-12-27,394.29,3,Office Supplies,0
CA-1361,2015-12-28,646.86,6,Technology,1
CA-1362,2015-12-29,463.67,2,Technology,0
CA-1363,2015-12-30,550.16,9,Technology,1
CA-1364,2015-12-31,942.05,2,Furniture,2
CA-1365,2016-01-01,392.24,3,Technology,0
CA-1366,2016-01-02,961.58,2,Office Supplies,2
CA-1367,2016-01-03,906.3,9,Technology,1
CA-1368,2016-01-04,203.83,1,Office Supplies,0
CA-1369,2016-01-05,78.67,5,Furniture,0
CA-1370,2016-01-06,109.77,1,Furniture,0
CA-1371,2016-01-07,28.04,5,Technology,0
CA-1372,2016-01-08,103.5,8,Office Supplies,1
CA-1373,2016-01-09,686.18,8,Technology,1
CA-1374,2016-01-10,80.48,8,Technology,1
CA-1375,2016-01-11,325.79,2,Office Supplies,0
CA-1376,2016-01-12,846.43,8,Office Supplies,1
CA-1377,2016-01-13,33.04,5,Office Supplies,0
CA-1378,2016-01-14,816.32,1,Office Supplies,2
CA-1379,2016-01-15,289.04,7,Office Supplies,1
CA-1380,2016-01-16,126.98,6,Furniture,0
CA-1381,2016-01-17,699.77,5,Furniture,2
CA-1382,2016-01-18,632.65,1,Furniture,2
CA-1383,2016-01-19,878.7,1,Office Supplies,2
CA-1384,2016-01-20,737.72,6,Office Supplies,2
CA-1385,2016-01-21,805.45,7,Office Supplies,1
CA-1386,2016-01-22,289.21,1,Technology,0
CA-1387,2016-01-23,185.67,9,Furniture,1
CA-1388,2016-01-24,753.11,4,Furniture,2
CA-1389,2016-01-25,808.77,5,Technology,2
CA-1390,2016-01-26,990.6,2,Technology,2
CA-1391,2016-01-27,418.49,8,Furniture,1
CA-1392,2016-01-28,378.3,2,Office Supplies,0
CA-1393,2016-01-29,778.65,3,Furniture,2
CA-1394,2016-01-30,347.4,9,Office Supplies,1
CA-1395,2016-01-31,931.45,2,Furniture,2
CA-1396,2016-02-01,859.83,6,Furniture,2
CA-1397,2016-02-02,434.7,4,Technology,0
CA-1398,2016-02-03,753.36,7,Technology,1
CA-1399,2016-02-04,757.0,6,Office Supplies,2
CA-1400,2016-02-05,112.09,9,Office Supplies,1
CA-1401,2016-02-06,903.53,9,Furniture,1
CA-1402,2016-02-07,510.2,4,Technology,2
CA-1403,2016-02-08,828.19,1,Office Supplies,2
CA-1404,2016-02-09,326.85,2,Office Supplies,0
CA-1405,2016-02-10,896.57,8,Office Supplies,1
CA-1406,2016-02-11,395.31,8,Furniture,1
CA-1407,2016-02-12,20.73,2,Office Supplies,0
CA-1408,2016-02-13,906.33,4,Office Supplies,2
CA-1409,2016-02-14,100.37,1,Technology,0
CA-1410,2016-02-15,326.12,7,Technology,1
CA-1411,2016-02-16,950.56,4,Technology,2
CA-1412,2016-02-17,951.1,8,Furniture,1
CA-1413,2016-02-18,577.7,9,Technology,1
CA-1414,2016-02-19,635.52,9,Technology,1
CA-1415,2016-02-20,453.96,3,Technology,0
CA-1416,2016-02-21,300.28,5,Technology,0
CA-1417,2016-02-22,335.38,6,Office Supplies,1
CA-1418,2016-02-23,675.79,6,Furniture,1
CA-1419,2016-02-24,754.85,8,Office Supplies,1
CA-1420,2016-02-25,793.66,6,Office Supplies,2
CA-1421,2016-02-26,791.72,6,Furniture,2
CA-1422,2016-02-27,100.29,4,Office Supplies,0
CA-1423,2016-02-28,499.48,7,Technology,1
CA-1424,2016-02-29,66.98,8,Furniture,1
CA-1425,2016-03-01,554.03,3,Office Supplies,2
CA-1426,2016-03-02,447.12,7,Office Supplies,1
CA-1427,2016-03-03,888.83,3,Technology,2
CA-1428,2016-03-04,357.41,8,Office Supplies,1
CA-1429,2016-03-05,125.9,1,Office Supplies,0
CA-1430,2016-03-06,151.56,1,Office Supplies,0
CA-1431,2016-03-07,763.9,6,Furniture,2
CA-1432,2016-03-08,622.04,9,Furniture,1
CA-1433,2016-03-09,110.11,4,Office Supplies,0
CA-1434,2016-03-10,93.27,6,Office Supplies,0
CA-1435,2016-03-11,703.96,5,Technology,2
CA-1436,2016-03-12,82.04,1,Furniture,0
CA-1437,2016-03-13,823.64,6,Furniture,2
CA-1438,2016-03-14,709.18,9,Furniture,1
CA-1439,2016-03-15,90.54,3,Office Supplies,0
CA-1440,2016-03-16,93.99,3,Technology,0
CA-1441,2016-03-17,986.77,2,Technology,2
CA-1442,2016-03-18,380.53,4,Office Supplies,0
CA-1443,2016-03-19,376.94,3,Office Supplies,0
CA-1444,2016-03-20,814.67,2,Technology,2
CA-1445,2016-03-21,947.78,1,Technology,2
CA-1446,2016-03-22,986.14,3,Furniture,2
CA-1447,2016-03-23,755.84,6,Office Supplies,2
CA-1448,2016-03-24,382.5,9,Furniture,1
CA-1449,2016-03-25,92.67,5,Technology,0
CA-1450,2016-03-26,779.38,3,Furniture,2
CA-1451,2016-03-27,562.82,5,Technology,2
CA-1452,2016-03-28,429.98,5,Technology,0
CA-1453,2016-03-29,907.29,5,Furniture,2
CA-1454,2016-03-30,120.09,7,Office Supplies,1
CA-1455,2016-03-31,497.7,5,Furniture,1
CA-1456,2016-04-01,21.24,7,Furniture,1
CA-1457,2016-04-02,473.97,9,Office Supplies,1
CA-1458,2016-04-03,65.74,5,Office Supplies,0
CA-1459,2016-04-04,127.63,2,Furniture,0
CA-1460,2016-04-05,126.35,5,Technology,0
CA-1461,2016-04-06,652.72,8,Furniture,1
CA-1462,2016-04-07,748.58,4,Technology,2
CA-1463,2016-04-08,587.54,2,Office Supplies,2
CA-1464,2016-04-09,962.55,3,Office Supplies,2
CA-1465,2016-04-10,381.12,9,Technology,1
CA-1466,2016-04-11,292.85,9,Furniture,1
CA-1467,2016-04-12,869.91,8,Office Supplies,1
CA-1468,2016-04-13,231.36,8,Technology,1
CA-1469,2016-04-14,963.59,8,Technology,1
CA-1470,2016-04-15,22.03,8,Furniture,1
CA-1471,2016-04-16,970.18,8,Technology,1
CA-1472,2016-04-17,52.73,1,Technology,0
CA-1473,2016-04-18,892.23,6,Furniture,2
CA-1474,2016-04-19,532.42,9,Office Supplies,1
CA-1475,2016-04-20,993.04,8,Office Supplies,1
CA-1476,2016-04-21,83.06,3,Office Supplies,0
CA-1477,2016-04-22,558.32,1,Technology,2
CA-1478,2016-04-23,969.61,2,Technology,2
CA-1479,2016-04-24,527.87,2,Furniture,2
CA-1480,2016-04-25,633.1,7,Technology,1
CA-1481,2016-04-26,698.79,6,Technology,1
CA-1482,2016-04-27,460.0,2,Office Supplies,0
CA-1483,2016-04-28,631.28,8,Technology,1
CA-1484,2016-04-29,588.47,9,Technology,1
CA-1485,2016-04-30,902.15,7,Technology,1
CA-1486,2016-05-01,54.99,4,Furniture,0
CA-1487,2016-05-02,288.15,1,Technology,0
CA-1488,2016-05-03,950.91,4,Furniture,2
CA-1489,2016-05-04,891.36,4,Office Supplies,2
CA-1490,2016-05-05,461.1,8,Technology,1
CA-1491,2016-05-06,623.93,4,Furniture,2
CA-1492,2016-05-07,284.61,4,Office Supplies,0
CA-1493,2016-05-08,196.24,2,Technology,0
CA-1494,2016-05-09,469.06,7,Furniture,1
CA-1495,2016-05-10,359.82,4,Furniture,0
CA-1496,2016-05-11,587.82,6,Office Supplies,1
CA-1497,2016-05-12,86.96,3,Technology,0
CA-1498,2016-05-13,974.65,7,Technology,2
CA-1499,2016-05-14,986.35,6,Technology,2
CA-1500,2016-05-15,701.18,3,Furniture,2
CA-1501,2016-05-16,540.74,4,Technology,2
CA-1502,2016-05-17,316.43,5,Furniture,0
CA-1503,2016-05-18,815.66,9,Furniture,1
CA-1504,2016-05-19,687.88,6,Office Supplies,1
CA-1505,2016-05-20,170.99,4,Furniture,0
CA-1506,2016-05-21,911.82,7,Office Supplies,1
CA-1507,2016-05-22,824.31,2,Office Supplies,2
CA-1508,2016-05-23,950.3,4,Technology,2
CA-1509,2016-05-24,728.46,5,Office Supplies,2
CA-1510,2016-05-25,617.28,4,Technology,2
CA-1511,2016-05-26,424.06,4,Office Supplies,0
CA-1512,2016-05-27,933.4,9,Furniture,1
CA-1513,2016-05-28,867.4,2,Technology,2
CA-1514,2016-05-29,54.77,6,Furniture,0
CA-1515,2016-05-30,36.1,8,Technology,1
CA-1516,2016-05-31,382.7,8,Furniture,1
CA-1517,2016-06-01,812.45,7,Office Supplies,1
CA-1518,2016-06-02,987.4,4,Technology,2
CA-1519,2016-06-03,158.91,7,Technology,1
CA-1520,2016-06-04,598.19,6,Technology,1
CA-1521,2016-06-05,387.08,6,Office Supplies,1
CA-1522,2016-06-06,970.22,2,Furniture,2
CA-1523,2016-06-07,843.7,8,Office Supplies,1
CA-1524,2016-06-08,839.95,8,Office Supplies,1
CA-1525,2016-06-09,474.01,7,Office Supplies,1
CA-1526,2016-06-10,420.67,9,Furniture,1
CA-1527,2016-06-11,280.67,8,Office Supplies,1
CA-1528,2016-06-12,65.81,9,Technology,1
